domain,ddg_join_ads,cookies,canvas_fingerprinters,session_recorders,key_logging,fb_pixel_events,ga,traffic_rank
https://better.com/,7,11,FALSE,TRUE,FALSE,TRUE,TRUE,51003
https://www.mrcooper.com/,6,11,FALSE,TRUE,FALSE,TRUE,TRUE,47968
https://www.fnbo.com/,44,87,FALSE,TRUE,FALSE,TRUE,FALSE,43826
https://www.quickenloans.com/,23,34,FALSE,FALSE,FALSE,TRUE,FALSE,39840
https://www.flagstar.com/,8,17,FALSE,FALSE,FALSE,TRUE,FALSE,35163
https://www.firstcitizens.com/,14,24,TRUE,FALSE,FALSE,TRUE,FALSE,30527
https://www.mutualofomaha.com/,20,47,TRUE,FALSE,FALSE,TRUE,TRUE,25615
https://www.mutualofomaha.com/,20,47,TRUE,FALSE,FALSE,TRUE,TRUE,25615
https://www.credible.com/,6,3,FALSE,TRUE,FALSE,TRUE,TRUE,24810
https://www.citizensbank.com/homepage.aspx,15,15,TRUE,FALSE,TRUE,TRUE,FALSE,16305
https://www.edwardjones.com/us-en,18,48,FALSE,TRUE,FALSE,TRUE,TRUE,10994
https://www.pnc.com/en/personal-banking.html,12,18,TRUE,FALSE,TRUE,TRUE,FALSE,6126
https://www.usbank.com/index.html,29,47,FALSE,TRUE,FALSE,TRUE,FALSE,5038
https://www.td.com/us/en/personal-banking,25,46,FALSE,FALSE,FALSE,TRUE,TRUE,4588
https://www.creditkarma.com/,10,7,TRUE,FALSE,FALSE,TRUE,FALSE,1000
https://www.360homelending.com/,5,0,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.anmtg.com/,34,73,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://advisorsmortgage.com/,6,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.affordcolorado.org/,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.agsouthfc.com/,8,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://alcova.com/,9,15,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://allwestern.com/,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://myamcap.com/,16,55,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.acrelends.com/,3,5,TRUE,FALSE,FALSE,TRUE,FALSE,-1
https://www.eaglemortgagevenice.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.americannationwide.com/,6,4,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.annie-mac.com/,6,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://amerifund.com/,6,7,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.annie-mac.com/,6,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://arborfinancialgroup.net/,5,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://aspirehomemortgage.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://assurancemortgage.com/,5,3,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://atlasmortgagegroup.ca/,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.bankbrighton.com/,5,4,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.bankfivenine.com/,34,78,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.midambk.com/,7,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.bankoftennessee.com/,6,3,TRUE,FALSE,FALSE,TRUE,TRUE,-1
https://www.bankfive.com/personal,8,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://banksouthmortgage.com/,8,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.barrettfinancial.com/,5,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://makeabeeline.com/,8,5,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://bestsuitedmortgage.com/,3,6,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.bigvalleymortgage.com/,4,8,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://blueskyfinancial.com/,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.bondstreetloans.com/,6,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://bydand.com/,6,1,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://cbcnationalbankmortgage.com/,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.camden-loans.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.capcenter.com/,8,4,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://cchl.com/,3,6,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.castlecookemortgage.com/,8,10,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.central-bank.com/,5,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://cmpfl.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://cogentbank.com/,8,9,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.cfgohio.com/,7,4,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.dhlending.com/,5,3,FALSE,FALSE,FALSE,TRUE,TRUE,-1
